threadTitle,threadDescription,keyStageTitle,yearTitle,examBoardTitle,unitId,unitTitle,unitDescription,unitThreadOrder,threadProgressionStatement
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 7,NoBoard,512,England under Henry II: how successfully did Henry reassert royal authority?,"In this unit, pupils learn about England and the Angevin Empire under Henry II's rule. They then use their knowledge of Henry's rule to evaluate the degree to which he was a successful king.",11,"Thread: Power, government and religion
Previous Unit: 937 The Christian Church: how completely did the Great Schism transform Christendom? (KS3, Y7)
Current Unit: 512 England under Henry II: how successfully did Henry reassert royal authority? (KS3, Y7)
Next Unit: 513 Magna Carta: how did Magna Carta survive? (KS3, Y7)

In this unit, the thread progresses as pupils evaluate Henry II's efforts to centralise power through legal reforms and conflicts with the Church. They analyse his creation of the Assizes and the Constitutions of Clarendon, and assess how disputes with Thomas Becket illustrate tensions between religious and royal authority. Pupils apply this understanding to Henry's broader reign and succession issues, integrating concepts of political control and the interplay between monarchy and religion."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 7,NoBoard,513,Magna Carta: how did Magna Carta survive?,"In this unit, pupils learn about the causes of the Magna Carta, its reissue and its continued importance in the development of the first parliaments. At the same time, pupils analyse how and why the principles of the Magna Carta survived.",12,"Thread: Power, government and religion
Previous Unit: 512 England under Henry II: how successfully did Henry reassert royal authority? (KS3, Y7)
Current Unit: 513 Magna Carta: how did Magna Carta survive? (KS3, Y7)
Next Unit: 514 Edward I: What stopped Edward uniting all of Britain? (KS3, Y7)

In this unit, the thread progresses as pupils evaluate King John's reign and its impact on power structures, focusing on the Magna Carta's creation and its role in shaping governance. They examine the tension between monarchy and barons, the annulment of Magna Carta, and its reissuance under Henry III. Through Simon de Montfort's establishment of the First Parliament, pupils understand the evolving balance of power, linking historical struggles to modern governance concepts."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 7,NoBoard,514,Edward I: What stopped Edward uniting all of Britain?,"In this unit, pupils learn about Edward I's campaign to conquer Wales and Scotland and bring both under English rule. They will analyse the reasons why Edward was unable to achieve his aim.",13,"Thread: Power, government and religion
Previous Unit: 513 Magna Carta: how did Magna Carta survive? (KS3, Y7)
Current Unit: 514 Edward I: What stopped Edward uniting all of Britain? (KS3, Y7)
Next Unit: 517 The Peasants' Revolt: why do historians disagree about its causes? (KS3, Y7)

In this unit, the thread progresses as pupils evaluate the complexities of Edward I's attempts to consolidate British rule. They assess his military campaigns in Wales and Scotland, exploring why unity was elusive. Pupils analyse how internal divisions and the resilience of Welsh and Scottish resistance, led by figures like Llywelyn ap Gruffudd and William Wallace, challenged Edward's authority, thereby enriching their understanding of the interplay between power, government, and resistance."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 7,NoBoard,517,The Peasants' Revolt: why do historians disagree about its causes?,"In this unit, pupils learn about the differing interpretations that exist regarding the causes of the Peasants' Revolt. They will examine the impact of the Black Death on England alongside the short-term causes of the uprising.",14,"Thread: Power, government and religion
Previous Unit: 514 Edward I: What stopped Edward uniting all of Britain? (KS3, Y7)
Current Unit: 517 The Peasants' Revolt: why do historians disagree about its causes? (KS3, Y7)
Next Unit: 521 Henry VIII and the Reformation: how unusual was the English Reformation? (KS3, Y8)

In this unit, the thread progresses as pupils examine the Peasants' Revolt of 1381, analysing the complex interplay between governmental authority and social unrest. They evaluate how the Black Death led to labour shortages and demands for higher wages, assess the role of Richard II and policies like the Statute of Labourers, and explore historians' differing interpretations of feudalism's decline, enabling them to understand power dynamics and taxation's impact on medieval society."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 8,NoBoard,521,Henry VIII and the Reformation: how unusual was the English Reformation?,"In this unit, pupils learn about the European Reformation and its influence on Henry VIII's break with Rome. In doing so, pupils compare the English Reformation to the ones experienced on the continent.",15,"Thread: Power, government and religion
Previous Unit: 517 The Peasants' Revolt: why do historians disagree about its causes? (KS3, Y7)
Current Unit: 521 Henry VIII and the Reformation: how unusual was the English Reformation? (KS3, Y8)
Next Unit: 522 Elizabeth I: why has Elizabeth been represented so differently? (KS3, Y8)

In this unit, the thread progresses as pupils analyse how Henry VIII's break with Rome redefines power structures in England. They evaluate key figures like Thomas Cromwell and Thomas Cranmer in facilitating the Reformation Parliament's shift in monarchical authority. By examining the 1534 Act of Supremacy and the Dissolution of the Monasteries, pupils understand how political and religious changes intertwine, leading to significant shifts in governance and belief systems."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 8,NoBoard,522,Elizabeth I: why has Elizabeth been represented so differently?,"In this unit, pupils learn about Elizabeth I's reign before examining some popular depictions of her. They build knowledge about her religious, domestic, and foreign policies before considering why she has been represented so differently.",16,"Thread: Power, government and religion
Previous Unit: 521 Henry VIII and the Reformation: how unusual was the English Reformation? (KS3, Y8)
Current Unit: 522 Elizabeth I: why has Elizabeth been represented so differently? (KS3, Y8)
Next Unit: 526 The English Civil War: what can pamphlets tell us about 17th century politics?�� (KS3, Y8)

In this unit, the thread progresses as pupils examine Elizabeth I's strategies in managing power and religion. They assess her religious settlement, the 'Middle Way', and its defences against Catholic and Puritan challenges. The execution of Mary, Queen of Scots, and the defeat of the Spanish Armada highlight Elizabeth's political acumen. Pupils also explore how Elizabeth's portrayal as the 'Virgin Queen' through propaganda reflects her manipulation of power and image."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 8,NoBoard,526,The English Civil War: what can pamphlets tell us about 17th century politics?��,"In this unit, pupils briefly learn about the causes and conduct of the English Civil War. They then learn about Oliver Cromwell's rule and the restoration of the monarchy. Pupils finish the unit by examining how these events were represented in popular political pamphlets of the day.",17,"Thread: Power, government and religion
Previous Unit: 522 Elizabeth I: why has Elizabeth been represented so differently? (KS3, Y8)
Current Unit: 526 The English Civil War: what can pamphlets tell us about 17th century politics?�� (KS3, Y8)
Next Unit: 528 The Glorious Revolution: how do historians' views of it differ? (KS3, Y8)

In this unit, the thread progresses as pupils evaluate the complex interplay between power, government, and religion during the English Civil War. They assess how Charles I’s belief in the Divine Right of Kings led to clashes with Parliament, and how pamphlets acted as propaganda, shaping political discourse. By examining Cromwell’s rule and the Restoration, pupils gain insights into how shifts in power structures influence governance and religious influence in 17th-century England."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 8,NoBoard,528,The Glorious Revolution: how do historians' views of it differ?,"In this unit, pupils learn about the Glorious Revolution and the way in which different historians have viewed it. They learn about the causes of this important event before examining Whig and revisionist arguments about its nature.",18,"Thread: Power, government and religion
Previous Unit: 526 The English Civil War: what can pamphlets tell us about 17th century politics?�� (KS3, Y8)
Current Unit: 528 The Glorious Revolution: how do historians' views of it differ? (KS3, Y8)
Next Unit: 1151 The British Empire: why did it grow in the 17th and 18th centuries? (KS3, Y8)

In this unit, the thread progresses as pupils evaluate the power dynamics of the Glorious Revolution. They examine how the Bill of Rights curtailed monarchical authority and expanded Parliament's role, focusing on figures like James II and William of Orange. Pupils compare Whig and revisionist interpretations, assessing whether the revolution represented continuity or significant change in political power and religious influence."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 8,NoBoard,1151,The British Empire: why did it grow in the 17th and 18th centuries?,In this unit pupils develop overview knowledge of why the British Empire grew in the 17th and 18th centuries. They learn about the state of Britain's empire at the beginning and end of the 'long eighteenth century' before analysing differing historians' arguments about why it grew.,19,"Thread: Power, government and religion
Previous Unit: 528 The Glorious Revolution: how do historians' views of it differ? (KS3, Y8)
Current Unit: 1151 The British Empire: why did it grow in the 17th and 18th centuries? (KS3, Y8)
Next Unit: 1077 The emergence of cabinet government: why did Walpole become Prime Minister? (KS3, Y8)

In this unit, the thread progresses as pupils evaluate how Britain's economic transformation during the 'long eighteenth century' affects its global power dynamics. They assess how the Navigation Act and the growth in trade, including the enslavement-driven economy, bolster Britain's imperial ambitions. Pupils analyse debates on the interplay between domestic industrial advancements and colonial expansion, understanding how these factors collectively establish Britain as a dominant world power by 1815."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 8,NoBoard,1077,The emergence of cabinet government: why did Walpole become Prime Minister?,"In this short unit, pupils learn about the Hanoverian Succession and the emergence of Robert Walpole as Britain's first Prime Minister. They also develop an appreciation of how cabinet government was formed during this period.",20,"Thread: Power, government and religion
Previous Unit: 1151 The British Empire: why did it grow in the 17th and 18th centuries? (KS3, Y8)
Current Unit: 1077 The emergence of cabinet government: why did Walpole become Prime Minister? (KS3, Y8)
Next Unit: 534 The French Revolution: How did Europe respond to the French Revolution? (KS3, Y8)

In this unit, the thread progresses as pupils examine the emergence of cabinet government and how Robert Walpole became Britain's first Prime Minister. They evaluate how the South Sea Bubble crisis led to Walpole's rise and the formalisation of cabinet governance, linking it to the Hanoverian Succession's impact on parliamentary power. This understanding of political evolution connects to broader themes of power distribution and government structure."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 8,NoBoard,534,The French Revolution: How did Europe respond to the French Revolution?,"In this unit, pupils learn about British responses to the French Revolution and Napoleon's rise. They examine how revolutionary ideas spread to Ireland and end the unit by learning about the Napoleonic Wars and how this period was represented in political cartoons of the day.",21,"Thread: Power, government and religion
Previous Unit: 1077 The emergence of cabinet government: why did Walpole become Prime Minister? (KS3, Y8)
Current Unit: 534 The French Revolution: How did Europe respond to the French Revolution? (KS3, Y8)
Next Unit: 1152 Widening the franchise: who gained the right to vote? (KS3, Y9)

In this unit, the thread progresses as pupils investigate the interplay of power, government, and religion during the French Revolution and its aftermath. They examine how revolutionary ideas inspired political upheaval in Ireland and analyse Napoleon's rise and impact on European governance. By evaluating British responses, such as Pitt's laws and Wollstonecraft's advocacy for constitutional reform, pupils understand how political and religious tensions shaped governmental structures and authority across Europe."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 9,NoBoard,1152,Widening the franchise: who gained the right to vote?,"In this unit, pupils learn about England and the Angevin Empire under Henry II's rule. They then use their knowledge of Henry's rule to evaluate the degree to which he was a successful king.",22,"Thread: Power, government and religion
Previous Unit: 534 The French Revolution: How did Europe respond to the French Revolution? (KS3, Y8)
Current Unit: 1152 Widening the franchise: who gained the right to vote? (KS3, Y9)
Next Unit: 538 Women's suffrage: why did it take so long for women to get the vote in Britain? (KS3, Y9)

In this unit, the thread progresses as pupils evaluate the impact of 19th-century British franchise reforms on power distribution. They apply knowledge of events like the 1832 Great Reform Act and the 1867 and 1884 Reform Acts to understand shifts in political authority. This enables pupils to assess how expanding the franchise altered governmental structures and societal dynamics, particularly in relation to working-class enfranchisement and the persistent exclusion of women and the poorest voters."
"Power, government and religion","This thread is concerned with the substantive concepts related to power, government, and religion. It explores how power is structured, who holds authority, and how religion interacts with political control. It includes different systems of rule (e.g., monarchy, parliament), political ideas (e.g., democracy, tyranny), and the influence of religion in shaping or challenging power structures.",Key Stage 3,Year 9,NoBoard,538,Women's suffrage: why did it take so long for women to get the vote in Britain?,"In this unit, pupils analyse why it took so long for women to win the vote in Britain. They learn about the position of women in the early twentieth century, the campaigns for suffrage and the government's responses to these campaigns and women's contributions during the Great War.",23,"Thread: Power, government and religion
Previous Unit: 1152 Widening the franchise: who gained the right to vote? (KS3, Y9)
Current Unit: 538 Women's suffrage: why did it take so long for women to get the vote in Britain? (KS3, Y9)
Next Unit: N/A

In this unit, the thread concludes as pupils evaluate the complex interplay of political and social factors delaying women's suffrage in Britain. They assess how peaceful and radical tactics, figures like Millicent Fawcett and Emmeline Pankhurst, and events like the Great War impacted political change. Pupils apply this to understand the evolving role of women in shaping political power structures and the eventual legislative changes granting them the vote."
