futureUnit,plannedNumberOfLessons,priorKnowledgeRequirements,priorUnit,unitId,unitTitle,unitDescription,subjectTitle
1073.0,4,"[""[Y2] Plants need light and water to grow."", ""[Y3] Plants need air and nutrients from soil to grow."", ""[Y3 & Y4] Plants are producers because they make their own food in their leaves."", ""Cellular respiration is a chemical process that uses glucose from food as a fuel to provide energy for life processes.""]",507.0,562,Plant nutrition and photosynthesis,"This unit covers photosynthesis, including how plants produce carbohydrates, absorb water and minerals, and the role of leaf stomata in gas exchange. It highlights the importance of photosynthesis in sustaining life on Earth and explores the adaptations of leaves for photosynthesis.",Science
489.0,9,"[""An ammeter measures the size of current flowing through it without affecting the current in the circuit it is connected into."", ""Electric current is measured in amps (A), which is short for ampere."", ""The current in a series circuit is the same everywhere."", ""Adding a component to a series circuit changes the current everywhere, on both sides of the component."", ""A voltmeter is used to measure the voltage of a battery or the voltage across a component in an electric circuit."", ""A voltmeter is connected to each side of a battery or component."", ""Voltage (or potential difference) is measured in volts (V)."", ""The voltage of a battery measures the strength with which it can \u2018push\u2019 current around a circuit."", ""The voltage of a component in an electric circuit measures the size of \u2018push\u2019 that is moving current through it."", ""The voltage across each component in a series electric circuit adds up to the voltage of the battery.""]",484.0,488,Resistance and parallel circuits,"This unit covers electrical circuits, compares appliance power ratings, and understands domestic fuel use and costs. It explores electric current, potential difference, resistance, and the differences between conductors and insulators, focusing on calculations and applications in circuits.",Science
479.0,18,"[""The bigger the resultant force, the bigger the change on an object."", ""The moment of a force causes turning."", ""Levers are force multipliers or distance multipliers."", ""Objects that are harder to stop have a bigger momentum."", ""Work done is the total amount of energy transferred."", ""Work done is measured in joules (J)."", ""Doubling the mass of a moving object doubles the energy it has because it is moving."", ""Doubling the speed of an object increases the energy it has because it is moving by four times."", ""The gravitational force acting on an object does work to speed the object up when it is falling."", ""Gravitational force (weight) = mass \u00d7 gravitational field strength, W = mg.""]",478.0,477,Forces make things change,"This unit explores forces, interactions, and Newton’s laws, including motion, rotation, and momentum. It covers reaction times, stopping distances, and deceleration dangers. Emphasis is on force diagrams, calculations, experiments, and evaluating methods for accuracy and safety.",Physics
479.0,18,"[""The bigger the resultant force, the bigger the change on an object."", ""The moment of a force causes turning."", ""Levers are force multipliers or distance multipliers."", ""Objects that are harder to stop have a bigger momentum."", ""Work done is the total amount of energy transferred."", ""Work done is measured in joules (J)."", ""Doubling the mass of a moving object doubles the energy it has because it is moving."", ""Doubling the speed of an object increases the energy it has because it is moving by four times."", ""The gravitational force acting on an object does work to speed the object up when it is falling."", ""Gravitational force (weight) = mass \u00d7 gravitational field strength, W = mg.""]",478.0,477,Forces make things change,"This unit explores forces, interactions, and Newton’s laws, including motion, rotation, and momentum. It covers reaction times, stopping distances, and deceleration dangers. Emphasis is on force diagrams, calculations, experiments, and evaluating methods for accuracy and safety.",Combined science
970.0,11,"[""Coal is a sedimentary rock that burns because it is made mostly of carbon, with some impurities."", ""The organic matter that formed oil and gas decomposed into hydrocarbons."", ""When fuels containing carbon are burned it is common for carbon dioxide to be made."", ""Less than 1% of the Earth\u2019s atmosphere is carbon dioxide."", ""Carbon dioxide is a greenhouse gas."", ""In the atmosphere, some gases are greenhouse gases and have properties that enable its temperature to rise over time."", ""Combustion increases the amount of carbon dioxide in the atmosphere.""]",682.0,968,Atmosphere and changing climate,"This unit explores the composition and evolution of Earth’s atmosphere, evidence of climate change, and effects of pollutants like sulphur dioxide. It highlights scientific explanations, ethical considerations, risk evaluation, and the role of peer review in communication.",Combined science
970.0,11,"[""Coal is a sedimentary rock that burns because it is made mostly of carbon, with some impurities."", ""The organic matter that formed oil and gas decomposed into hydrocarbons."", ""When fuels containing carbon are burned it is common for carbon dioxide to be made."", ""Less than 1% of the Earth\u2019s atmosphere is carbon dioxide."", ""Carbon dioxide is a greenhouse gas."", ""In the atmosphere, some gases are greenhouse gases and have properties that enable its temperature to rise over time."", ""Combustion increases the amount of carbon dioxide in the atmosphere.""]",682.0,968,Atmosphere and changing climate,"This unit explores the composition and evolution of Earth’s atmosphere, evidence of climate change, and effects of pollutants like sulphur dioxide. It highlights scientific explanations, ethical considerations, risk evaluation, and the role of peer review in communication.",Chemistry
491.0,9,"[""Electric current is measured in amps (A) with an ammeter."", ""Potential difference (voltage) is measured in volts (V) with a voltmeter."", ""The current in a series circuit is the same everywhere."", ""Adding a component to a series circuit changes the current everywhere, on both sides of the component."", ""The voltage across each component in a series electric circuit adds up to the voltage of the battery."", ""Resistance is a measure of how hard it is for current to flow."", ""Resistance is measured in ohms (\u03a9)."", ""The voltage across each branch of a parallel circuit is the same as the voltage across the battery."", ""Each loop in a parallel circuit is equivalent to a series circuit connected to the same battery."", ""The current through each branch of a parallel circuit adds up to the current through the battery.""]",488.0,489,Electric fields and circuit calculations,"This unit covers static electricity, electric fields, and current flow in series and parallel circuits. It explains current, resistance, and potential difference relationships and explores diodes, thermistors, and LDRs. The focus is on calculations, experiments, and accurate measurements.",Physics
491.0,9,"[""Electric current is measured in amps (A) with an ammeter."", ""Potential difference (voltage) is measured in volts (V) with a voltmeter."", ""The current in a series circuit is the same everywhere."", ""Adding a component to a series circuit changes the current everywhere, on both sides of the component."", ""The voltage across each component in a series electric circuit adds up to the voltage of the battery."", ""Resistance is a measure of how hard it is for current to flow."", ""Resistance is measured in ohms (\u03a9)."", ""The voltage across each branch of a parallel circuit is the same as the voltage across the battery."", ""Each loop in a parallel circuit is equivalent to a series circuit connected to the same battery."", ""The current through each branch of a parallel circuit adds up to the current through the battery.""]",488.0,489,Electric fields and circuit calculations,"This unit covers static electricity, electric fields, and current flow in series and parallel circuits. It explains current, resistance, and potential difference relationships and explores diodes, thermistors, and LDRs. The focus is on calculations, experiments, and accurate measurements.",Combined science
208.0,5,"[""Explore the natural world around them, making observations of common animals"", ""Notice some similarities and differences between different animals"", ""Begin to understand the need to respect and care for all living things"", ""Know that some animals have babies"", ""Know that baby animals grow and change over time""]",101.0,109,New life,"This unit explores how animals, including humans, have offspring that grow into adults and examines their basic survival needs, such as water, food, and air. It focuses on asking questions, observing closely, identifying and classifying, and using observations to suggest answers to questions.",Science
658.0,4,"[""The genome is the entire genetic material of an organism."", ""The genome, and its interaction with the environment, influence the phenotype (characteristics) of an organism."", ""There is variation in the features of individuals of the same species."", ""Variation can be caused by information in the genome and by the environment, but only variation caused by information in the genome is heritable (can be passed on to offspring)."", ""Due to variation, some individuals within a species have features that make them better adapted to complete and survive in their environment."", ""Better adapted individuals are more likely to reproduce and pass heritable adaptations (caused by genetic variation) on to the next generation."", ""This \u2018natural selection\u2019 of better adapted individuals causes advantageous features to become more common in each generation of offspring."", ""Natural selection can cause the common features of a species to change (evolve) over generations."", ""Natural selection can cause the common features of a population to change (evolve) over generations, and eventually to become so different that we classify the population as a new species."", ""Some bacteria have become resistant to some antibiotics.""]",669.0,670,Variation and natural selection at the genetic level,"This unit covers genetic variation, comparing asexual and sexual reproduction. It explores mutations' impact on phenotypes, evolution through natural selection, and how scientific theories develop, explaining how advantageous traits lead to adaptation.",Biology
658.0,4,"[""The genome is the entire genetic material of an organism."", ""The genome, and its interaction with the environment, influence the phenotype (characteristics) of an organism."", ""There is variation in the features of individuals of the same species."", ""Variation can be caused by information in the genome and by the environment, but only variation caused by information in the genome is heritable (can be passed on to offspring)."", ""Due to variation, some individuals within a species have features that make them better adapted to complete and survive in their environment."", ""Better adapted individuals are more likely to reproduce and pass heritable adaptations (caused by genetic variation) on to the next generation."", ""This \u2018natural selection\u2019 of better adapted individuals causes advantageous features to become more common in each generation of offspring."", ""Natural selection can cause the common features of a species to change (evolve) over generations."", ""Natural selection can cause the common features of a population to change (evolve) over generations, and eventually to become so different that we classify the population as a new species."", ""Some bacteria have become resistant to some antibiotics.""]",669.0,670,Variation and natural selection at the genetic level,"This unit covers genetic variation, comparing asexual and sexual reproduction. It explores mutations' impact on phenotypes, evolution through natural selection, and how scientific theories develop, explaining how advantageous traits lead to adaptation.",Combined science
393.0,13,"[""Find out how the shapes of solid objects made from some materials can be changed by squashing, bending, twisting and stretching"", ""Compare how things move on different surfaces"", ""Notice that some forces need contact between two objects, but magnetic force can act at a distance"", ""Observe how magnets attract or repel each other, and attract some materials and not others""]",114.0,211,Forces including simple machines,"This unit covers the effects of gravity, air resistance, water resistance, and friction on objects. It explores how mechanisms like levers, pulleys, and gears magnify forces. Emphasis is on taking precise measurements, recording complex data, and presenting findings.",Science
503.0,7,"[""[Y2] Some processes happen in all living things (and do not happen in things that are dead or have never been alive)."", ""[Y5] All living things have a life cycle."", ""[Y3] Flowering plants are made up of different parts with different functions, including roots, stem/trunk, leaves and flowers."", ""[Y4, Y6] Humans are made up of different parts with different functions, including organ systems such as the digestive system and circulatory system.""]",106.0,470,Cells,"This unit explores cell structures, their functions, and differences between plant and animal cells. It includes adaptations of unicellular organisms and the organisation of multicellular organisms. Skills in using safe techniques, recording data, and evaluating methods in lab work are developed.",Science
476.0,9,"[""Almost everything is made of particles."", ""In a solid, particles are very close together, have a regular arrangement, are vibrating and are bonded together."", ""In a liquid, particles are close together, they do not have a regular arrangement and can move over each other, they are loosely bonded together."", ""In a gas, particles are spaced apart and move quickly in straight lines, bouncing off other particles or the walls of their container."", ""Between particles there is empty space."", ""Heating a solid makes its particles vibrate more quickly."", ""Heating a liquid or gas makes its particles move around more quickly."", ""Heating a solid, liquid or gas causes it to expand."", ""The faster the particles in something are vibrating or moving, the higher its temperature.""]",480.0,928,Particle explanations of density and pressure,"This unit defines density and explores how it varies between states of matter based on atomic arrangement. It covers mass conservation during physical changes, gas behaviour, fluid pressure, buoyancy, and atmospheric pressure, and calculations involving density, mass, and volume relationships.",Physics
476.0,9,"[""Almost everything is made of particles."", ""In a solid, particles are very close together, have a regular arrangement, are vibrating and are bonded together."", ""In a liquid, particles are close together, they do not have a regular arrangement and can move over each other, they are loosely bonded together."", ""In a gas, particles are spaced apart and move quickly in straight lines, bouncing off other particles or the walls of their container."", ""Between particles there is empty space."", ""Heating a solid makes its particles vibrate more quickly."", ""Heating a liquid or gas makes its particles move around more quickly."", ""Heating a solid, liquid or gas causes it to expand."", ""The faster the particles in something are vibrating or moving, the higher its temperature.""]",480.0,928,Particle explanations of density and pressure,"This unit defines density and explores how it varies between states of matter based on atomic arrangement. It covers mass conservation during physical changes, gas behaviour, fluid pressure, buoyancy, and atmospheric pressure, and calculations involving density, mass, and volume relationships.",Combined science
568.0,9,"[""[Y1] The basic parts of the human body and which part of the body is associated with each sense."", ""Humans are multicellular organisms \u2013 they are made up of millions of living cells."", ""Specialised cells in animals have shapes, sizes and structures that are adapted for the jobs the cells do.""]",567.0,565,Coordination and control: the human nervous system,"This unit explores the structure and function of the nervous system, including the CNS, reflex arcs, and the eye. It covers brain structure, common eye defects, and the challenges in treating nervous system damage. It also addresses ethical considerations.",Biology
568.0,9,"[""[Y1] The basic parts of the human body and which part of the body is associated with each sense."", ""Humans are multicellular organisms \u2013 they are made up of millions of living cells."", ""Specialised cells in animals have shapes, sizes and structures that are adapted for the jobs the cells do.""]",567.0,565,Coordination and control: the human nervous system,"This unit explores the structure and function of the nervous system, including the CNS, reflex arcs, and the eye. It covers brain structure, common eye defects, and the challenges in treating nervous system damage. It also addresses ethical considerations.",Combined science
,27,"[""The visible spectrum comprises red, orange, yellow, green, blue, indigo and violet light."", ""A glass prism can split sunlight up into colours of the visible spectrum."", ""A ray of light bends at the surface as it enters glass (or water) from air."", ""A ray of light bends in the opposite direction at the surface as it leaves glass (or water) into air."", ""The speed of a wave depends on the medium it is travelling through."", ""The speed of a wave does not depend on its amplitude or its frequency."", ""For a given wave speed, the higher the frequency, the shorter the wavelength."", ""For a given waves speed, the longer the wavelength, the lower the frequency."", ""Wave speed = frequency x wavelength.""]",490.0,494,Electromagnetic waves,"This unit explores reflection, refraction, and lenses using ray diagrams. It covers the electromagnetic spectrum, light as a wave, absorption, transmission, and practical uses. Emphasis is on risks, temperature balance, data presentation, and unit conversions.",Physics
,27,"[""The visible spectrum comprises red, orange, yellow, green, blue, indigo and violet light."", ""A glass prism can split sunlight up into colours of the visible spectrum."", ""A ray of light bends at the surface as it enters glass (or water) from air."", ""A ray of light bends in the opposite direction at the surface as it leaves glass (or water) into air."", ""The speed of a wave depends on the medium it is travelling through."", ""The speed of a wave does not depend on its amplitude or its frequency."", ""For a given wave speed, the higher the frequency, the shorter the wavelength."", ""For a given waves speed, the longer the wavelength, the lower the frequency."", ""Wave speed = frequency x wavelength.""]",490.0,494,Electromagnetic waves,"This unit explores reflection, refraction, and lenses using ray diagrams. It covers the electromagnetic spectrum, light as a wave, absorption, transmission, and practical uses. Emphasis is on risks, temperature balance, data presentation, and unit conversions.",Combined science
116.0,8,"[""Explore the natural world around them, making observations of a range of plants"", ""Notice some similarities and differences between plants in their local environment"", ""Describe some important processes in the natural world around them, such as how plants can change throughout the year"", ""Identify and name a variety of common wild and garden plants, including trees"", ""Identify and describe the basic structure of a variety of common flowering plants, including trees""]",85.0,108,Growing plants,"This unit covers observing and describing how seeds and bulbs grow into mature plants, and understanding how water, light, and temperature affect plant growth and health. It involves performing simple tests, using observations to answer questions, and gathering data to explore plant needs.",Science
694.0,7,"[""[Y5] Reproduction is part of the life cycle of all living things."", ""[Y6] Living things, including animals and plants, produce offspring of the same kind."", ""[Y6] Characteristics are passed from parents to their offspring."", ""[Y6] Offspring are similar to their parents, but normally offspring vary and are not identical to their parents."", ""All organisms are made up of cells."", ""The cells of animals and plants have a nucleus that stores genetic material."", ""The genetic material provides instructions for growth and other life processes.""]",214.0,692,Heredity and DNA,"This unit examines the transmission of genetic information through heredity, how scientific methods evolve with new evidence, the importance of publishing and peer review, and the Study of DNA, chromosomes, and genes while developing lab skills focusing on safety.",Science
217.0,12,"[""Plants need light in order to grow and stay healthy"", ""Some materials let light through (are transparent) and some do not (are opaque)."", ""The Sun gives us life and day length can vary throughout the year"", ""Shadows can be observed in everyday experiences""]",103.0,113,Introduction to light and shadows,"This unit explores the nature of light, recognising that light is needed to see and that dark is the absence of light. It covers how light reflects and shadow formation. The unit emphasises practical tests, observations, accurate measuring, and using evidence to support findings.",Science
696.0,8,"[""The changes experienced during puberty."", ""The gestation period of a human."", ""The nucleus of a cell contains DNA."", ""Organisms grow by cell division.""]",692.0,694,Reproduction in humans,"This unit explores human reproduction, covering the structure and function of male and female reproductive systems, the menstrual cycle, gametes, fertilisation, gestation, and birth. It also examines how maternal lifestyle impacts the foetus through the placenta.",Science
693.0,13,"[""Describe the importance for humans of exercise, eating the right amounts of different  types of food, and hygiene"", ""Identify that animals, including humans, need the right types and amount of nutrition"", ""Identify that animals including humans cannot make their own food; they get nutrition from what they eat""]",110.0,301,Keeping healthy,"This unit examines how diet, exercise, drugs, and lifestyle impact body function. It focuses on planning scientific enquiries, controlling variables, taking precise measurements, and recording complex data. Emphasis is on presenting findings, drawing conclusions, and evaluating scientific evidence.",Science
573.0,9,"[""Plants are multicellular organisms \u2013 they are made up of millions of living cells."", ""Plants do not have a circulatory system (they do not have blood, blood vessels or a heart)."", ""Cells need to be supplied with nutrients including carbohydrates, proteins, lipids and water for growth and repair."", ""Cells need to be supplied with oxygen and glucose for cellular respiration to provide energy for life processes."", ""Cells with chloroplasts need to be supplied with carbon dioxide and water for photosynthesis."", ""Particles of substances move by diffusion into and out of cells through selectively-permeable cell membranes."", ""Exchange surfaces are adapted to maximise the surface area for diffusion of particles across membranes."", ""In humans, the circulatory system transports essential substances around the body and minimises the distance they have to diffuse so cells can be supplied quickly.""]",572.0,570,Transport and exchange surfaces in plants,"This unit covers water and mineral uptake in plants, focusing on root hair cells, xylem, and phloem. It includes transpiration, translocation, and factors affecting water uptake. Emphasis is on rate calculations, graph interpretation, experiments, and data analysis.",Combined science
573.0,9,"[""Plants are multicellular organisms \u2013 they are made up of millions of living cells."", ""Plants do not have a circulatory system (they do not have blood, blood vessels or a heart)."", ""Cells need to be supplied with nutrients including carbohydrates, proteins, lipids and water for growth and repair."", ""Cells need to be supplied with oxygen and glucose for cellular respiration to provide energy for life processes."", ""Cells with chloroplasts need to be supplied with carbon dioxide and water for photosynthesis."", ""Particles of substances move by diffusion into and out of cells through selectively-permeable cell membranes."", ""Exchange surfaces are adapted to maximise the surface area for diffusion of particles across membranes."", ""In humans, the circulatory system transports essential substances around the body and minimises the distance they have to diffuse so cells can be supplied quickly.""]",572.0,570,Transport and exchange surfaces in plants,"This unit covers water and mineral uptake in plants, focusing on root hair cells, xylem, and phloem. It includes transpiration, translocation, and factors affecting water uptake. Emphasis is on rate calculations, graph interpretation, experiments, and data analysis.",Biology
637.0,5,"[""[Y6] Living things produce offspring of the same kind, but normally offspring vary and are not identical to their parents."", ""Impacts of diet, exercise and lifestyle on the body."", ""Heredity as the process by which genetic information is transmitted from one generation to the next."", ""A simple model of chromosomes, genes and DNA in heredity.""]",635.0,636,Variation (differences within species),"This unit examines variation within species, both continuous and discontinuous, using measurements and graphical representations. It also emphasises objectivity, accuracy, precision, and repeatability in investigations, the use of appropriate techniques, and the effective presentation of data.",Science
928.0,8,"[""Almost everything is made of particles."", ""Solids have a fixed shape, cannot usually be squashed and do not flow."", ""Liquids usually cannot be squashed, they flow and will take the shape of the container they are in."", ""Gases can be squashed, they flow and will fill the container they are in."", ""In a solid, particles are very close together, have a regular arrangement, are vibrating and are bonded together."", ""In a liquid, particles are close together, they do not have a regular arrangement and can move over each other, they are loosely bonded together."", ""In a gas, particles are spaced apart and move quickly in straight lines, bouncing off other particles or the walls of their container."", ""Between particles there is empty space.""]",496.0,480,Heating and cooling,"This unit explains energy transfer between objects due to temperature differences, through conduction or radiation, the role of insulators, and thermal equilibrium. It covers particle arrangements and motions in solids, liquids, and gases and Brownian motion.",Science
928.0,10,"[""Forces are pushes or pulls."", ""Gravity is a force that pulls objects towards the Earth."", ""The bigger the force, the greater the change."", ""Forces are measure in newtons (N)."", ""Force arrows show the direction of a force."", ""The length of a force arrow shows the size of a force."", ""Force arrows are best labelled as the force acting on (object A) by (object b)."", ""When forces are balanced there is no resultant force.""]",393.0,413,Hidden forces,"This unit explores forces, deformation, Hooke’s Law, moments, and work done. It covers pressure in liquids, atmospheric pressure, upthrust, and equilibrium, as well as simple machines and force-extension relationships, highlighting how forces affect motion, friction, and object deformation.",Science
497.0,9,"[""The temperature along a thermal conductor increases quickly when it is heated."", ""The temperature along a thermal insulator increases very slowly when it is heated."", ""In thermal conductors, vibrating particles quickly cause the particles near to them to vibrate as well."", ""The faster the particles in something are vibrating or moving, the higher its temperature."", ""The more energy something has because its particles are vibrating or moving, the more it can heat something else."", ""It is easier to increase the temperature of some materials than others."", ""The same amount of different materials at the same temperature can cause different amounts of heating."", ""The particles and the bonds between particles are different in different substances.""]",928.0,478,Energy of moving particles,"This unit covers energy changes in systems due to heating, forces, and electrical work. It explains reducing energy transfer via insulation, specific heat capacity, and latent heat. Emphasis is on calculations, planning experiments, data interpretation, and evaluating methods.",Physics
497.0,9,"[""The temperature along a thermal conductor increases quickly when it is heated."", ""The temperature along a thermal insulator increases very slowly when it is heated."", ""In thermal conductors, vibrating particles quickly cause the particles near to them to vibrate as well."", ""The faster the particles in something are vibrating or moving, the higher its temperature."", ""The more energy something has because its particles are vibrating or moving, the more it can heat something else."", ""It is easier to increase the temperature of some materials than others."", ""The same amount of different materials at the same temperature can cause different amounts of heating."", ""The particles and the bonds between particles are different in different substances.""]",928.0,478,Energy of moving particles,"This unit covers energy changes in systems due to heating, forces, and electrical work. It explains reducing energy transfer via insulation, specific heat capacity, and latent heat. Emphasis is on calculations, planning experiments, data interpretation, and evaluating methods.",Combined science
967.0,5,"[""Metals are good conductors of heat and electricity, they are strong, shiny, malleable and ductile."", ""Non-metals are normally poor conductors of heat and electricity, they are not strong, and are dull and brittle."", ""Graphite is a non-metal that is an electrical conductor."", ""When a metal reacts with acid bubbles may form, the temperature rises and the metal reduces in size or disappears."", ""Not all metals react with an acid."", ""The word equation for a metal and acid reaction is: metal + acid \u2b62 salt + hydrogen.""]",957.0,958,Materials,"This unit examines the varying properties of elements, the reactivity series, and the role of carbon in metal extraction. It also explores catalysts and the properties of ceramics, polymers, and composites. Emphasis is placed on evaluating risks, using appropriate techniques, and interpreting data.",Science
900.0,9,"[""All organisms are made up of one or more cells."", ""Genetic material stored in cells provides instructions for growth and other life processes."", ""The genetic material of all organisms is made of a chemical substance called DNA.""]",696.0,899,DNA and the genome,"This unit covers the structure and function of eukaryotic and prokaryotic cells, DNA as the genetic material, and key genetic terms. It also explains protein synthesis, genetic variants, and how DNA structure affects proteins. The emphasis is on using models to explain scientific concepts.",Biology
900.0,9,"[""All organisms are made up of one or more cells."", ""Genetic material stored in cells provides instructions for growth and other life processes."", ""The genetic material of all organisms is made of a chemical substance called DNA.""]",696.0,899,DNA and the genome,"This unit covers the structure and function of eukaryotic and prokaryotic cells, DNA as the genetic material, and key genetic terms. It also explains protein synthesis, genetic variants, and how DNA structure affects proteins. The emphasis is on using models to explain scientific concepts.",Combined science
