futureUnit,plannedNumberOfLessons,priorKnowledgeRequirements,priorUnit,unitId,unitTitle,unitDescription,subjectTitle
773.0,6,"[""Pupils will know that England has faced waves of migration from various different groups, such as the Romans, Jutes, Saxons and Angles."", ""Pupils know that the British Isles was populated by the Anglo-Saxons in the 8th century."", ""Pupils will know that England was governed by a king.""]",508.0,772,Migration: how was medieval Britain impacted by conquest and settlement?,"In this unit, pupils learn about the impact of conquest and settlement on medieval Britain. They learn about the roles played by Viking and Norman invasions, the growth of the Angevin Empire and the impact of the Hundred Year's War.",History
1059.0,6,"[""Pupils need to know that the Romans abandoned Britain in 409 CE."", ""Pupils need to know about the large-scale migration and settlement by Angles, Saxons and Jutes to Britain."", ""Pupils need to grasp the political and social organisation of Anglo-Saxon England into different kingdoms."", ""Pupils should understand how historians and archaeologists interact with sources and artefacts to make claims about the past.""]",1045.0,1046,The Anglo-Saxons: how do we know about life in Anglo-Saxon England?,"In this unit, pupils develop their understanding of the link between sources and historical knowledge. They learn about some of the main historical sources that exist for the Anglo-Saxon period and how historians have used these to present arguments about life in Anglo-Saxon",History
806.0,8,"[""Pupils know that the Allies emerged victorious from WW2 in an uneasy coalition with the USSR.""]",804.0,805,"The origins of the Cold War, 1941-58","In this unit, pupils begin their study of superpower relations in the Cold War by examining how the Grand Alliance broke down in the years following the Second World War. They examine key events and developments that led to growing tension between the superpowers.",History
818.0,4,"[""Pupils know that the Second World War had transformed some aspects of American society."", ""Pupils know that communism was a political ideology that had gained power in Russia during WW1.""]",814.0,815,USA Society: how far did American society change after WW2?,"In this unit, pupils learn about the changes that took place in American society after the Second World War. They examine post-war popular culture, McCarthyism and the concept of the American Dream in the 1940s and 1950s.",History
790.0,6,"[""Pupils know that England had been ruled by monarchs."", ""Pupils know that a succession crisis could lead to huge changes."", ""Pupils know that from 1042 England had an Anglo-Saxon king."", ""Pupils know that the early 11th century saw both Anglo-Saxons and Vikings rule England.""]",1046.0,508,The Norman Conquest: how do we know about the impact of the Conquest on England?,"In this unit, pupils learn about the causes and conduct of the Norman Conquest of England. They develop their understanding of the sorts of evidence historians use to make claims, and how they do this, building an understanding of how we know about these events.",History
519.0,6,"[""Pupils know that medieval kings were responsible for the way in which their countries were governed."", ""Pupils know that the Church was very powerful in medieval society."", ""Pupils know that medieval kings believed they should be the most powerful people in the kingdom."", ""Pupils know that feudalism involved a hierarchy of landholding, including the king, barons and knights.""]",508.0,512,England under Henry II: how successfully did Henry reassert royal authority?,"In this unit, pupils learn about England and the Angevin Empire under Henry II's rule. They then use their knowledge of Henry's rule to evaluate the degree to which he was a successful king.",History
1086.0,16,"[""The idea that people travel and have travelled to other places."", ""Some similarities and differences between things in the past and now."", ""Some similarities and differences between the natural world around them and contrasting environments.""]",1084.0,1085,Significant explorers: How has seafaring changed over time?,"This unit on explorers and seafaring gives students a clear sense of change over time, highlighting technological, economic, and cultural shifts. It covers the sea's role in trade and exploration and explores material culture, craftsmanship, and the influence of seafaring on language and art.",History
937.0,6,"[""An awareness of the British home front during WW2, as introduced in 'Significant turning points: how did experiences differ during WW2?'"", ""An understanding of a 'turning point' in history, as introduced in, 'Significant turning points: how did experiences differ during WW2?'"", ""An understanding of how photographs are used as historical evidence, as introduced in, ' Photographs from history: what can they tell us about Britain's recent past?'""]",1143.0,1150,Significant turning points: in what ways did Britain change after WWII?,"In this unit, pupils analyse the ways in which Britain changed after the Second World War. They learn about the creation of the NHS, the experiences of the Windrush generation and the technological and social changes that took place in the 1960s.",History
510.0,3,"[""Pupils know about the rise of Islam."", ""Pupils know about the growth of the Islamic Empire in the 7th and 8th centuries."", ""Pupils know about conflict between Islamic and Christian powers in the early medieval period.""]",1058.0,938,11th-century Islamic worlds: how similar were the regions of the Islamic world?,"In this unit, pupils develop their knowledge and understanding of the Islamic world in the 11th century. Pupils study three connected, but contrasting, centres of Islamic civilisation: Baghdad, Cordoba and Sicily.",History
544.0,6,"[""Pupils know that Great Britain had a large empire."", ""Pupils know that Great Britain no longer has an empire."", ""Pupils know that the legacy of the British Empire is contested.""]",537.0,543,Decolonisation: how similar was decolonisation throughout the British Empire?,"In this unit, pupils learn about the similarities and differences between decolonisation in various parts of the British Empire. They examine this process in Ireland, India, Palestine, Africa and the Caribbean, providing them with ample knowledge to compare the experiences of each.",History
537.0,6,"[""Pupils know that countries would colonise other countries in order to gain land, money and power."", ""Pupils know that in the early modern and modern periods, many European nations competed to have the largest and most successful empires.""]",535.0,536,The British Empire: how far was it transformed in the mid-nineteenth century?,"In this unit, pupils learn about how the British Empire changed in the mid-nineteenth century. They examine the British Empire in India, Jamaica, East Asia, and Africa and evaluate the extent to which it was transformed during this period.",History
521.0,6,"[""Pupils know that the role of the king was desired by many powerful men who were willing to fight for it."", ""Pupils know that kings must be seen to be successful in order to keep their power.""]",511.0,519,The Wars of the Roses: what does it tell us about fifteenth-century England?,"In this unit, pupils develop an understanding of the events of the period known as the Wars of the Roses. In doing so, they analyse the reasons for instability during this period, reflecting on what the Wars of the Roses can tell us about fifteenth-century England.",History
777.0,8,"[""Pupils know that Africans had been forcibly transported to the Americas to work as enslaved people on plantations."", ""Pupils know that African Americans had been emancipated at the end of the American Civil War in 1865."", ""Pupils know that African American people had been discriminated against throughout the earlier 20th century.""]",815.0,818,USA Civil Rights: how successful was the American civil rights movement?,"In this unit, pupils evaluate the success of the American Civil Rights movement from 1950 to 1973. They learn about Martin Luther King Jr. and direct action, the Black Power movement, feminism in the 1960s and 1970s, and the social legislation of the time.",History
936.0,6,"[""Pupils need to understand the concepts of civilisation and culture and how these interact."", ""Pupils need to understand the religious and political nature of Ancient Greek culture and society."", ""Pupils need to have some knowledge of the geography of the Mediterranean and Italy.""]",1054.0,935,The Romans: what did it mean to be a Roman?,"In this unit, pupils examine the changing nature of the state that became the Roman Empire. They learn about its origins and kings, its period as a republic and its imperial history, ending with its division and decline. Throughout, pupils analyse how the idea of 'being a Roman' changed over time.",History
938.0,3,"[""Pupils know what Christianity is."", ""Pupils understand what is meant by the 'Church'."", ""Pupils know something about the role of the Pope."", ""Pupils know that Christianity in the East and the West was very similar but with different traditions.""]",1140.0,937,The Christian Church: how completely did the Great Schism transform Christendom?,"In this unit, pupils learn about the Great Schism. They study the similarities and differences between the Roman Catholic and Eastern Orthodox Churches and consider the degree to which the Great Schism fundamentally changed the relationship between these two centres of Christendom.",History
1139.0,12,"[""An awareness of some of the common features of the Bronze Age."", ""An awareness of some of the common features of ancient civilisations, as introduced in 'Sumer and other early civilisations: what made them similar?'"", ""An awareness of artifacts and how archaeologists interact with them."", ""An awareness of what civilisation means, especially in the context of 'ancient civilisations'.""]",1137.0,1138,The earliest civilisations: the Indus and the Shang,"These units analyse the way in which archaeologists have found out about the Indus Valley Civilisation and the Shang dynasty. Whichever unit is chosen, pupils examine the archaeological record of an early civilisation and develop their knowledge of what claims are based on these remains.",History
530.0,3,"[""Pupils know that by 1688 England was largely still an agricultural nation."", ""Pupils will have a conceptual understanding of various empires throughout history, such as the Roman Empire."", ""Pupils know about the growth of the Transatlantic Slave Trade.""]",529.0,1151,The British Empire: why did it grow in the 17th and 18th centuries?,In this unit pupils develop overview knowledge of why the British Empire grew in the 17th and 18th centuries. They learn about the state of Britain's empire at the beginning and end of the 'long eighteenth century' before analysing differing historians' arguments about why it grew.,History
538.0,6,"[""Pupils know that kings had lots of power over their subjects."", ""Pupils know that the lives of the rich and the poor were very different."", ""Pupils know that the power of the king had been challenged through rebellions and uprisings.""]",531.0,534,The French Revolution: How did Europe respond to the French Revolution?,"In this unit, pupils learn about British responses to the French Revolution and Napoleon's rise. They examine how revolutionary ideas spread to Ireland and end the unit by learning about the Napoleonic Wars and how this period was represented in political cartoons of the day.",History
521.0,6,"[""Pupils know that the Church was very important in medieval society."", ""Pupils know that ancient Greece and Rome were famous for their cultural products."", ""Pupils know that after the collapse of the Roman Empire, Europe entered the 'Dark Ages'.""]",937.0,520,The Renaissance: what do the artefacts of the Renaissance tell us about it?,"In this unit, pupils learn about the Renaissance by examining its material culture. They study various artefacts of the Renaissance and compare the Northern and Italian Renaissances. Throughout, pupils reflect on what evidence about the Renaissance can be taken from these sources.",History
779.0,6,"[""Pupils know that the Allies were mutually distrustful which led to the collapse of the Grand Alliance."", ""Pupils know that Asia is a large continent consisting of many different peoples with very diverse histories.""]",777.0,778,Cold War development: how did the Cold War develop in Asia?,"In this unit, pupils learn about how the Cold War developed in Asia. They study the 'loss' of China to communism, the outbreak and consequences of the Korean War and the reasons the USA became involved in Vietnam.",History
1045.0,6,"[""Pupils need to know that different societies and cultures have developed throughout human history around the world."", ""Pupils need to know that as societies develop and disappear from history, they leave a legacy behind them that impacts future generations."", ""Pupils need to understand that different cultures and societies have different beliefs and cultures that are equally valid."", ""Pupils need to know about the rise of Islam and Muslim conquests in the 7th and 8th centuries CE.""]",1057.0,1058,Early Islamic civilisation: what connected Baghdad to the wider world?,"In this unit, pupils analyse the connections that 9th-century Islamic civilisation had to the wider world. They learn about its connections to the East and West and the importance of Baghdad as a centre of learning and knowledge.",History
780.0,8,"[""Pupils will know that migration increased after WW2."", ""Pupils will know that many people migrated from other places in the British Empire.""]",796.0,797,The historical environment: what does Notting Hill tell us about migration?,"In this unit, pupils study the historical environment of Notting Hill in the 1950s and 1960s. They learn about the local context of this area and the influence of Caribbean cultures there. They also learn about racism, policing and black activism in the area.",History
1085.0,8,"[""The names of Britain's historic kingdoms."", ""The idea of a ruler and their duties."", ""The idea of succession in relation to a ruler.""]",1083.0,1084,Traditional stories: what do they tell us about the distant past?,"This unit helps students understand the distant past, where customs, appearances, and practices differed greatly from today. It introduces key figures from British history and shares classic stories that have been retold through generations, becoming part of community heritage.",History
803.0,6,"[""Pupils know that the USA had emerged from WW2 as a leading global power."", ""Pupils know that capitalism and communism had emerged from WW2 as competing ideologies."", ""Pupils know that many European empires had begun to collapse after WW2.""]",801.0,802,USA: why was the USA involved in Vietnam?,"In this unit, pupils analyse why the USA became involved in the conflict in Vietnam following the Second World War. They learn about the Cold War context to the USA's actions, and examine the events that led to increasing US involvement in the conflict.",History
802.0,6,"[""Pupils know that many hoped the 1964 Civil Rights Act would bring huge change."", ""Pupils know that there were different beliefs about how civil rights activists should push for change.""]",800.0,801,USA: how did the civil rights movement change after 1965?,"In this unit, pupils analyse the changes that took place to the civil rights movement with the growth of Black Power. They learn about the role of Malcolm X, the Black Panther Party and the riots of 1965-67. They also look at King Jr's unsuccessful campaign in the north.",History
775.0,6,"[""Pupils will know that in the 19th century Britain had an empire that spanned multiple continents."", ""Pupils will know that in the 19th century various European nations competed to expand their empires in Africa."", ""Pupils will know that empire had an impact on both the colonisers and the colonised.""]",773.0,774,Migration: how did Britain expand its control over India and Africa?,"In this unit, pupils learn about the origins of British rule in India and how this was challenged by rebellion. They also examine Britain's role in the scramble for Africa and the Boer War, reflecting on what sources can tell them about the expansion of the Empire.",History
528.0,6,"[""Pupils know that England had always been ruled over by monarchs since the Anglo-Saxons."", ""Pupils know that the king had lots of power."", ""Pupils know that kings were bound to work with Parliament."", ""Pupils know that the power of kings could be challenged.""]",508.0,526,The English Civil War: what can pamphlets tell us about 17th century politics? ,"In this unit, pupils briefly learn about the causes and conduct of the English Civil War. They then learn about Oliver Cromwell's rule and the restoration of the monarchy. Pupils finish the unit by examining how these events were represented in popular political pamphlets of the day.",History
813.0,8,"[""Pupils know that the USA was made up of settlers from primarily European countries."", ""Pupils know that the USA had expanded westwards throughout the 19th century."", ""Pupils know that America had expanded at the expense of its native inhabitants."", ""Pupils know that the USA had been victorious in the First World War.""]",773.0,812,USA boom years: how did the 'boom' affect the American people?,"In this unit, pupils begin their study of the USA by learning about the 'boom years' of the 1920s. They examine the economic boom itself, alongside social issues concerning racial tension, the Red Scare, and women's position in society.",History
1083.0,12,"[""The lives of the people around them and their roles in society."", ""Some similarities and differences between things in the past and now."", ""Some similarities and differences between life in this country and life in other countries."", ""Some similarities and differences between different religious and cultural communities in this country.""]",,1081,Elizabeth II: what was her life like?,"This lesson helps students understand a time span covering four generations before their birth. It teaches about Queen Elizabeth II's reign, offering a simple overview of 100 years of British history. Students also learn how a major public figure holds authority and performs national duties.",History
537.0,6,"[""Pupils know about the Transatlantic Slave Trade."", ""Pupils know that European powers colonised other countries, in order to be a part of their empires."", ""Pupils know that the lives of enslaved people were lives of suffering and oppression.""]",527.0,533,The Haitian Revolution: what was its role in the abolition of the slave trade? ,"In this unit, pupils learn about the causes and conduct of the Haitian Revolution before reflecting on its role in the abolition of the British slave trade in 1807.",History
783.0,4,"[""Pupils know that Edward the Confessor died without an heir.""]",780.0,781,Anglo-Saxon and Norman England: why did the Normans conquer England in 1066?,"In this unit, pupils analyse why a Norman Duke, William the Conqueror invaded England in 1066. They learn about the succession crisis of 1066 and the three major battles that took place in this year, ultimately leading to William being crowned King of England.",History
814.0,4,"[""Pupils know that the 1920s had been a period of 'boom' in the USA.""]",812.0,813,USA bust years: how did the Great Depression affect the American people?,"In this unit, pupils learn how the Great Depression affected the American people. They learn about the Wall Street Crash and the Great Depression, the 1932 Presidential Election, and the Depression's wide-ranging impacts on American society.",History
807.0,7,"[""Pupils know that the alliance between the USA and the USSR was strained by the early 1950s""]",805.0,806,"Cold War crises, 1958-70","In this unit, pupils analyse the key Cold War crises that pushed the world to the brink of nuclear war in the 1960s. They learn about the construction of the Berlin Wall and how events in Cuba eventually led to the Cuban Missile Crisis.",History
947.0,6,"[""Pupils should already be able to talk about events in the past and use some appropriate vocabulary to talk about the past."", ""Pupils should be able to interpret a simple timeline of events in chronological order."", ""Pupils should be able to identify similarities and differences between ways of life at different times."", ""Pupils should understand that archaeologists and historians can interrogate artefacts to create accounts an representations of the past.""]",1135.0,946,Stone Age Britain: what do archaeologists think they know about it?,"This unit examines the archaeological record that exists for Stone Age Britain and introduces pupils to the way in which archaeologists make claims based on this evidence. As the first unit in KS2, it covers the settlement of humans in Britain during the Paleolithic, Mesolithic and Neolithic eras.",History
538.0,1,"[""Pupils know that Britain was a partial democracy in the early 19th century."", ""Pupils know that the Great Reform Act of 1832 had only narrowly widened the franchise."", ""Pupils know that the question of who should have the right to vote was a major debate in the nineteenth century.""]",535.0,1152,Widening the franchise: who gained the right to vote?,"In this unit, pupils learn about England and the Angevin Empire under Henry II's rule. They then use their knowledge of Henry's rule to evaluate the degree to which he was a successful king.",History
801.0,6,"[""Pupils know that the civil rights movement emerged in the 1950s."", ""Pupils know that early civil right movements used non-violent direct action to push for change."", ""Pupils know that by 1960, Martin Luther King had become a leading civil rights activist.""]",799.0,800,USA: why was the civil rights movement more successful from 1960 to 1965?,"In this unit, pupils learn about the growing number and diversity of civil rights campaigns in the early 1960s. They learn about sit-ins, the Freedom rides, the peace marches and Freedom Summer, and the passage of the Civil Rights and Voting Rights Acts of 1964 and 1965.",History
1060.0,6,"[""Knowledge of the reasons for, and impact of, the Viking conquests of the 8th and 9th centuries."", ""Some knowledge of Norse culture and society at this time.""]",1061.0,1141,The Vikings: how do we know so much about Viking York?,"In this unit, pupils learn about the archaeological discoveries made at Coppergate in York. They find out how archaeologists and historians have used artefacts to build a picture of what Viking York would have been like.",History
783.0,7,"[""Pupils know that William the Conqueror used a mixture of bribery and coercion to subdue England.""]",781.0,782,Anglo-Saxon and Norman England: how did Anglo-Saxons resist Norman rule?,"In this unit, pupils learn about the ways in which King William asserted his control over the English, like castles, and the Marcher earldoms, and the ways in which they tried to resist. They learn about the Northern and East Anglian rebellions, and William's brutal response to these.",History
1138.0,6,"[""An awareness of artifacts and archaeologists."", ""An awareness of distinctive ancient cultures as introduced in 'Bronze and Iron Age Britain and Ireland: how did life change during this time?'"", ""Stories from EYFS and KS1 Religious Education about gods and goddesses."", ""An awareness of what civilisation means, especially in the context of 'ancient civilisations'.""]",1136.0,1137,Sumer and other early civilisations: what made them similar?,"This unit analyses the similarities and differences between early civilisations. Pupils learn about Mesopotamia as a 'cradle of civilisation' and compare it to other civilisations, such as the Shang and the Indus Valley civilisations.",History
1054.0,6,"[""Pupils need to understand that some things from the past continue to have an influence in the present."", ""Pupils should have a basic grasp that present societies and cultures choose which aspects of the past to remember and celebrate."", ""Pupils need to have some knowledge of Ancient Greek culture and society.""]",949.0,954,Ancient Greek civilisation: what is its most significant legacy?,"In this unit, pupils develop their understanding of historical significance whilst examining the legacy of ancient Greek civilisation. They build knowledge of various facets of ancient Greek civilisation: its philosophers, the Olympics, Athenian democracy, its language and architecture.",History
810.0,6,"[""Pupils know that the USA and the Soviet Union had attempted to coexist but had often misunderstood each other."", ""Pupils know that the rivalry displayed by the USA and the Soviet Union had increased tensions.""]",779.0,809,Cold War transformation: was the world on the brink of a nuclear war?,"In this unit, pupils analyse how growing tension in the 1960s led to the brink of nuclear war. They learn about the construction of the Berlin Wall and how events in Cuba eventually led to the Cuban Missile Crisis.",History
543.0,7,"[""Pupils know that Hitler was the German leader during the Second World War."", ""Pupils know that marginalised groups have experienced oppression and persecution throughout history.""]",541.0,542,The Holocaust: what was the Holocaust?,"In this unit, pupils investigate what the Holocaust was. They place this significant event in context, examine Jewish life in Europe before WW2 and analyse Nazi persecution of the Jewish people. They also reflect on Jewish resistance and the role of various perpetrators in this event.",History
