Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
"The Secretary of State for Education is required to publish programmes of study for each national curriculum subject, setting out the 'matters, skills and processes' to be taught at each key stage. Schools are free to choose how they organise their school day, as long as the content of the national curriculum programmes of study is taught to all pupils.",,,,,,NC master,6,Y,,,,,,,,,,,,,,,,,,
"The key stage 2 programmes of study for English, mathematics and science are presented in this document as 'lower' (years 3 and 4) and 'upper' (years 5 and 6). This distinction is made as guidance for teachers and is not reflected in legislation. The legal requirement is to cover the content of the programmes of study for years 3 to 6 by the end of key stage 2.",,,,,,NC master,6,Y,,,,,,,,,,,,,,,,,,
"The structure of the national curriculum, in terms of which subjects are compulsory at each key stage, is set out in the table below:",,,,,,NC master,7,Y,,,,,,,,,,,,,,,,,,
"Core subject English is compulsory in Key stages 1, 2, 3, and 4.",English,"Key stage 1, Key stage 2, Key stage 3, Key stage 4",Years 1-11,,,NC master,7,Y,,,,,,,Y,,,,,Y,,,,,Y,
"Core subject Mathematics is compulsory in Key stages 1, 2, 3, and 4.",Mathematics,"Key stage 1, Key stage 2, Key stage 3, Key stage 4",Years 1-11,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
"Core subject Science is compulsory in Key stages 1, 2, 3, and 4.",Science,"Key stage 1, Key stage 2, Key stage 3, Key stage 4",Years 1-11,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
"Foundation subject Art and design is compulsory in Key stages 1, 2, and 3.",Art and design,"Key stage 1, Key stage 2, Key stage 3",Years 1-9,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
Foundation subject Citizenship is compulsory in Key stages 3 and 4.,Citizenship,"Key stage 3, Key stage 4",Years 7-11,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
"Foundation subject Computing is compulsory in Key stages 1, 2, 3, and 4.",Computing,"Key stage 1, Key stage 2, Key stage 3, Key stage 4",Years 1-11,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
"Foundation subject Design and technology is compulsory in Key stages 1, 2, and 3.",Design and technology,"Key stage 1, Key stage 2, Key stage 3",Years 1-9,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
Foundation subject Languages⁴ is compulsory in Key stages 2 and 3.,Languages,"Key stage 2, Key stage 3",Years 3-9,,,NC master,7,Y,,,,,,,Y,,,,,Y,,,,,Y,
"Foundation subject Geography is compulsory in Key stages 1, 2, and 3.",Geography,"Key stage 1, Key stage 2, Key stage 3",Years 1-9,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
"Foundation subject History is compulsory in Key stages 1, 2, and 3.",History,"Key stage 1, Key stage 2, Key stage 3",Years 1-9,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
"Foundation subject Music is compulsory in Key stages 1, 2, and 3.",Music,"Key stage 1, Key stage 2, Key stage 3",Years 1-9,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
"Foundation subject Physical education is compulsory in Key stages 1, 2, 3, and 4.",Physical education,"Key stage 1, Key stage 2, Key stage 3, Key stage 4",Years 1-11,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
All schools are also required to teach religious education at all key stages. Secondary schools must provide sex and relationship education.,"Religious education
SRE",All Key Stages,,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
"Religious education is statutory in Key stages 1, 2, 3, and 4.",Religious education,"Key stage 1, Key stage 2, Key stage 3, Key stage 4",Years 1-11,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
Sex and relationship education is statutory in Key stages 3 and 4.,Sex and relationship education,"Key stage 3, Key stage 4",Years 7-11,,,NC master,7,Y,,,,,,,Y,,,,,,,,,,,
At key stage 2 the subject title is 'foreign language'; at key stage 3 it is 'modern foreign language'.,Languages,"Key stage 2, Key stage 3",Years 3-9,,,NC master,7,Y,,,,,,,,,,,,,,,,,,
"The arts (comprising art and design, music, dance, drama and media arts), design and technology, the humanities (comprising geography and history) and modern foreign language are not compulsory national curriculum subjects after the age of 14, but all pupils in maintained schools have a statutory entitlement to be able to study a subject in each of those four areas.","The arts
- Art and design
- Music
- Dance
- Drama
- Media arts
Design and Technology
Humanities
- Geography
- History
Modern Foreign Languages",Key stage 4,Years 10-11,,,NC master,8,Y,,,,,,,Y,Y,,,,,,,,,,
The statutory requirements in relation to the entitlement areas are: schools must provide access to a minimum of one course in each of the four entitlement areas,,Key stage 4,Years 10-11,,,NC master,8,Y,,,,,,,Y,,,,,,,,,,,
"The statutory requirements in relation to the entitlement areas are: schools must provide the opportunity for pupils to take a course in all four areas, should they wish to do so",,Key stage 4,Years 10-11,,,NC master,8,Y,,,,,,,Y,,,,,,,,,,,
The statutory requirements in relation to the entitlement areas are: a course that meets the entitlement requirements must give pupils the opportunity to obtain an approved qualification.,,Key stage 4,Years 10-11,,,NC master,8,Y,,,,,,,Y,,,,,,,,,,,
Teachers should set high expectations for every pupil. They should plan stretching work for pupils whose attainment is significantly above the expected standard. They have an even greater obligation to plan lessons for pupils who have low levels of prior attainment or come from disadvantaged backgrounds. Teachers should use appropriate assessment to set targets which are deliberately ambitious.,,,,Inclusion,Setting suitable challenges,NC master,9,Y,,,,,,,Y,,,,,,,,,,,
"Teachers should take account of their duties under equal opportunities legislation that covers race, disability, sex, religion or belief, sexual orientation, pregnancy and maternity, and gender reassignment.5",,,,Inclusion,Responding to pupils' needs and overcoming potential barriers for individuals and groups of pupils,NC master,9,Y,,,,,,,Y,,,,,,,,,,,
"A wide range of pupils have special educational needs, many of whom also have disabilities. Lessons should be planned to ensure that there are no barriers to every pupil achieving. In many cases, such planning will mean that these pupils will be able to study the full national curriculum. The 0-25 Special Education and Disability Code of Practice includes statutory advice on approaches for identification and assessment which can support this. A minority of pupils will need access to specialist equipment and different approaches. The SEN and Disability Code of Practice is clear about what should be done to meet their needs.",,,,Inclusion,Responding to pupils' needs and overcoming potential barriers for individuals and groups of pupils,NC master,9,Y,,,,,,,Y,,,,,,,,,,,
"With the right teaching, that recognises their individual needs, many disabled pupils may have little need for additional resources beyond the aids which they use as part of their daily life. Teachers must plan lessons so that these pupils can study every national curriculum subject. Potential areas of difficulty should be identified and addressed at the outset of work.",,,,Inclusion,Responding to pupils' needs and overcoming potential barriers for individuals and groups of pupils,NC master,9,Y,,,,,,,Y,,,,,,,,,,,
"Teachers must also take account of the needs of pupils whose first language is not English. Monitoring of progress should take account of the pupil's age, length of time in this country, previous educational experience and ability in other languages.",,,,Inclusion,Responding to pupils' needs and overcoming potential barriers for individuals and groups of pupils,NC master,9,Y,,,,,,,Y,,,,,,,,,,,
The ability of pupils for whom English is an additional language to take part in the national curriculum may be in advance of their communication skills in English. Teachers should plan teaching opportunities to help pupils develop their English and should aim to provide the support pupils need to take part in all subjects.,,,,Inclusion,Responding to pupils' needs and overcoming potential barriers for individuals and groups of pupils,NC master,9,Y,,,,,,,Y,,,,,Y,,,,,Y,
5 Age is a protected characteristic under the Equality Act 2010 but it is not applicable to schools in relation to education or (as far as relating to those under the age of 18) the provision of services; it is a relevant protected characteristic in relation to the provision of services or employment (so when thinking about staff). Marriage and civil partnership are also a protected characteristic but only in relation to employment.,,,,Inclusion,Footnote,NC master,9,Y,,,,,,,,Y,,,,,,,,,,
Teachers should use every relevant subject to develop pupils' mathematical fluency. Confidence in numeracy and other mathematical skills is a precondition of success across the national curriculum.,Numeracy,,,,Mathematical fluency,NC master,10,Y,,,,,,,Y,,,,,,,,,,,
"Teachers should develop pupils' numeracy and mathematical reasoning in all subjects so that they understand and appreciate the importance of mathematics. Pupils should be taught to apply arithmetic fluently to problems, understand and use measures, make estimates and sense check their work. Pupils should apply their geometric and algebraic understanding, and relate their understanding of probability to the notions of risk and uncertainty. They should also understand the cycle of collecting, presenting and analysing data. They should be taught to apply their mathematics to both routine and non-routine problems, including breaking down more complex problems into a series of simpler steps.",Numeracy,,,,,NC master,10,Y,,,,,,,Y,,,,,,,,,,,
"Teachers should develop pupils' spoken language, reading, writing and vocabulary as integral aspects of the teaching of every subject. English is both a subject in its own right and the medium for teaching; for pupils, understanding the language provides access to the whole curriculum. Fluency in the English language is an essential foundation for success in all subjects.",Literacy,,,,,NC master,11,Y,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to speak clearly and convey ideas confidently using Standard English. They should learn to justify ideas with reasons; ask questions to check understanding; develop vocabulary and build knowledge; negotiate; evaluate and build on the ideas of others; and select the appropriate register for effective communication. They should be taught to give well-structured descriptions and explanations and develop their understanding through speculating, hypothesising and exploring ideas. This will enable them to clarify their thinking as well as organise their ideas for writing.",Literacy,,,,Spoken language,NC master,11,Y,,,,,,,Y,,,,,Y,,,,,Y,
"Teachers should develop pupils' reading and writing in all subjects to support their acquisition of knowledge. Pupils should be taught to read fluently, understand extended prose (both fiction and non-fiction) and be encouraged to read for pleasure. Schools should do everything to promote wider reading. They should provide library facilities and set ambitious expectations for reading at home. Pupils should develop the stamina and skills to write at length, with accurate spelling and punctuation. They should be taught the correct use of grammar. They should build on what they have been taught to expand the range of their writing and the variety of the grammar they use. The writing they do should include narratives, explanations, descriptions, comparisons, summaries and evaluations: such writing supports them in rehearsing, understanding and consolidating what they have heard or read.",Literacy,,,,Reading and writing,NC master,11,Y,,,,,,,Y,,,,,,,,,,,
"Pupils' acquisition and command of vocabulary are key to their learning and progress across the whole curriculum. Teachers should therefore develop vocabulary actively, building systematically on pupils' current knowledge. They should increase pupils' store of words in general; simultaneously, they should also make links between known and new vocabulary and discuss the shades of meaning in similar words. In this way, pupils expand the vocabulary choices that are available to them when they write. In addition, it is vital for pupils' comprehension that they understand the meanings of words they meet in their reading across all subjects, and older pupils should be taught the meaning of instruction verbs that they may meet in examination questions. It is particularly important to induct pupils into the language which defines each subject in its own right, such as accurate mathematical and scientific language.",Literacy,,,,Vocabulary development,NC master,12,Y,,,,,,,Y,,,,,,,,,,,
The following pages set out the statutory programmes of study and attainment targets for all subjects. Schools are not required by law to teach the example content in [square brackets] or the content indicated as being 'non-statutory'.,,,,,,NC master,13,Y,,,,Y,,,,,,,,,,,,,,
English has a pre-eminent place in education and in society.,English,,,,,NC master,14,Y,,,,Y,,,,Y,,,,,,,,,,
"A high-quality education in English will teach pupils to speak and write fluently so that they can communicate their ideas and emotions to others and through their reading and listening, others can communicate with them.",English,,,,,NC master,14,Y,,,,Y,,,,Y,,,,Y,,,,,Y,
"Through reading in particular, pupils have a chance to develop culturally, emotionally, intellectually, socially and spiritually.",English,,,,,NC master,14,Y,,,,Y,,,,Y,,,,,,,,,,
"Literature, especially, plays a key role in such development.",English,,,,,NC master,14,Y,,,,Y,,,,Y,,,,,,,,,,
Reading also enables pupils both to acquire knowledge and to build on what they already know.,English,,,,,NC master,14,Y,,,,Y,,,,Y,,,,,,,,,,
"All the skills of language are essential to participating fully as a member of society; pupils, therefore, who do not learn to speak, read and write fluently and confidently are effectively disenfranchised.",English,,,,,NC master,14,Y,,,,Y,,,,Y,,,,Y,,,,,Y,
"The overarching aim for English in the national curriculum is to promote high standards of language and literacy by equipping pupils with a strong command of the spoken and written word, and to develop their love of literature through widespread reading for enjoyment.",English,,,,,NC master,14,Y,,,,,Y,,,,,,,Y,,,,,Y,
"The national curriculum for English aims to ensure that all pupils: read easily, fluently and with good understanding",English,,,,,NC master,14,Y,,,,,Y,,,,,,,,,,,,,
"The national curriculum for English aims to ensure that all pupils: develop the habit of reading widely and often, for both pleasure and information",English,,,,,NC master,14,Y,,,,,Y,,,,,,,,,,,,,
"The national curriculum for English aims to ensure that all pupils: acquire a wide vocabulary, an understanding of grammar and knowledge of linguistic conventions for reading, writing and spoken language",English,,,,,NC master,14,Y,,,,,Y,,,,,,,Y,,,,,Y,
The national curriculum for English aims to ensure that all pupils: appreciate our rich and varied literary heritage,English,,,,,NC master,14,Y,,,,,Y,,,,,,,,,,,,,
"The national curriculum for English aims to ensure that all pupils: write clearly, accurately and coherently, adapting their language and style in and for a range of contexts, purposes and audiences",English,,,,,NC master,14,Y,,,,,Y,,,,,,,,,,,,,
The national curriculum for English aims to ensure that all pupils: use discussion in order to learn; they should be able to elaborate and explain clearly their understanding and ideas,English,,,,,NC master,14,Y,,,,,Y,,,,,,,Y,,,,,Y,
"The national curriculum for English aims to ensure that all pupils: are competent in the arts of speaking and listening, making formal presentations, demonstrating to others and participating in debate.",English,,,,,NC master,14,Y,,,,,Y,,,,,,,Y,,,,,Y,
"The national curriculum for English reflects the importance of spoken language in pupils' development across the whole curriculum - cognitively, socially and linguistically.",English,,,Spoken language,,NC master,14,,,,,,,,,Y,,,,Y,,,,,Y,
Spoken language underpins the development of reading and writing.,English,,,Spoken language,,NC master,14,,,,,,,,,Y,,,,Y,,,,,Y,
The quality and variety of language that pupils hear and speak are vital for developing their vocabulary and grammar and their understanding for reading and writing.,English,,,Spoken language,,NC master,14,,,,,,,,,Y,,,,Y,,,,,Y,
Teachers should therefore ensure the continual development of pupils' confidence and competence in spoken language and listening skills.,English,,,Spoken language,,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should develop a capacity to explain their understanding of books and other reading, and to prepare their ideas before they write.",English,,,Spoken language,,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
They must be assisted in making their thinking clear to themselves as well as to others and teachers should ensure that pupils build secure foundations by using discussion to probe and remedy their misconceptions.,English,,,Spoken language,,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
Pupils should also be taught to understand and use the conventions for discussion and debate.,English,,,Spoken language,,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
"All pupils should be enabled to participate in and gain knowledge, skills and understanding associated with the artistic practice of drama.",English,,,Spoken language,Drama,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be able to adopt, create and sustain a range of roles, responding appropriately to others in role.",English,,,Spoken language,Drama,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
"They should have opportunities to improvise, devise and script drama for one another and a range of audiences, as well as to rehearse, refine, share and respond thoughtfully to drama and theatre performances.",English,,,Spoken language,Drama,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
Statutory requirements which underpin all aspects of spoken language across the six years of primary education form part of the national curriculum.,English,Key stage 1,,Spoken language,,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
Statutory requirements which underpin all aspects of spoken language across the six years of primary education form part of the national curriculum.,English,Key stage 2,,Spoken language,,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
These are reflected and contextualised within the reading and writing domains which follow.,English,Key stage 1,,Spoken language,,NC master,15,,,,,,,,,Y,,,,Y,,,,,Y,
These are reflected and contextualised within the reading and writing domains which follow.,English,Key stage 2,,Spoken language,,NC master,15,,,,,,,,,Y,,,,Y,,,,,Y,
The programmes of study for reading at key stages 1 and 2 consist of two dimensions: word reading,English,Key stage 1,,Reading,word reading,NC master,15,,,,,,,,Y,,,,,,,,,,,
The programmes of study for reading at key stages 1 and 2 consist of two dimensions: word reading,English,Key stage 2,,Reading,word reading,NC master,15,,,,,,,,Y,,,,,,,,,,,
The programmes of study for reading at key stages 1 and 2 consist of two dimensions: comprehension (both listening and reading).,English,Key stage 1,,Reading,comprehension,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
The programmes of study for reading at key stages 1 and 2 consist of two dimensions: comprehension (both listening and reading).,English,Key stage 2,,Reading,comprehension,NC master,15,,,,,,,,Y,,,,,Y,,,,,Y,
It is essential that teaching focuses on developing pupils' competence in both dimensions; different kinds of teaching are needed for each.,English,,,Reading,,NC master,15,,,,,,,,,Y,,,,,,,,,,
Skilled word reading involves both the speedy working out of the pronunciation of unfamiliar printed words (decoding) and the speedy recognition of familiar printed words.,English,,,Reading,word reading,NC master,15,,,,,,,,,Y,,,,,,,,,,
Underpinning both is the understanding that the letters on the page represent the sounds in spoken words.,English,,,Reading,word reading,NC master,15,,,,,,,,,Y,,,,Y,,,,,Y,
This is why phonics should be emphasised in the early teaching of reading to beginners (i.e. unskilled readers) when they start school.,English,Key stage 1,Year 1,Reading,word reading,NC master,15,,,,,,,,Y,,,,,,,,,,,
Good comprehension draws from linguistic knowledge (in particular of vocabulary and grammar) and on knowledge of the world.,English,,,Reading,comprehension,NC master,15,,,,,,,,,Y,,,,,,,,,,
"Comprehension skills develop through pupils' experience of high-quality discussion with the teacher, as well as from reading and discussing a range of stories, poems and non-fiction.",English,,,Reading,comprehension,NC master,15,,,,,,,,,Y,,,,Y,,,,,Y,
"All pupils must be encouraged to read widely across both fiction and non-fiction to develop their knowledge of themselves and the world in which they live, to establish an appreciation and love of reading, and to gain knowledge across the curriculum.",English,,,Reading,comprehension,NC master,15,,,,,,,,Y,,,,,,,,,,,
Reading widely and often increases pupils' vocabulary because they encounter words they would rarely hear or use in everyday speech.,English,,,Reading,comprehension,NC master,15,,,,,,,,,Y,,,,Y,,,,,Y,
Reading also feeds pupils' imagination and opens up a treasure-house of wonder and joy for curious young minds.,English,,,Reading,comprehension,NC master,15,,,,,,,,,Y,,,,,,,,,,
"It is essential that, by the end of their primary education, all pupils are able to read fluently, and with confidence, in any subject in their forthcoming secondary education.",English,Key stage 2,,Reading,,NC master,16,,,,,,,,Y,,,,,,,,,,,
The programmes of study for writing at key stages 1 and 2 are constructed similarly to those for reading: transcription (spelling and handwriting),English,Key stage 1,,Writing,transcription,NC master,16,,,,,,,,Y,,,,,,,,,,,
The programmes of study for writing at key stages 1 and 2 are constructed similarly to those for reading: transcription (spelling and handwriting),English,Key stage 2,,Writing,transcription,NC master,16,,,,,,,,Y,,,,,,,,,,,
The programmes of study for writing at key stages 1 and 2 are constructed similarly to those for reading: composition (articulating ideas and structuring them in speech and writing).,English,Key stage 1,,Writing,composition,NC master,16,,,,,,,,Y,,,,,Y,,,,,Y,
The programmes of study for writing at key stages 1 and 2 are constructed similarly to those for reading: composition (articulating ideas and structuring them in speech and writing).,English,Key stage 2,,Writing,composition,NC master,16,,,,,,,,Y,,,,,Y,,,,,Y,
It is essential that teaching develops pupils' competence in these two dimensions.,English,,,Writing,,NC master,16,,,,,,,,,Y,,,,,,,,,,
"In addition, pupils should be taught how to plan, revise and evaluate their writing.",English,,,Writing,composition,NC master,16,,,,,,,,Y,,,,,,,,,,,
These aspects of writing have been incorporated into the programmes of study for composition.,English,,,Writing,composition,NC master,16,,,,,,,,,Y,,,,,,,,,,
"Writing down ideas fluently depends on effective transcription: that is, on spelling quickly and accurately through knowing the relationship between sounds and letters (phonics) and understanding the morphology (word structure) and orthography (spelling structure) of words.",English,,,Writing,transcription,NC master,16,,,,,,,,,Y,,,,,,,,,,
"Effective composition involves forming, articulating and communicating ideas, and then organising them coherently for a reader.",English,,,Writing,composition,NC master,16,,,,,,,,,Y,,,,Y,,,,,Y,
"This requires clarity, awareness of the audience, purpose and context, and an increasingly wide knowledge of vocabulary and grammar.",English,,,Writing,composition,NC master,16,,,,,,,,,Y,,,,,,,,,,
"Writing also depends on fluent, legible and, eventually, speedy handwriting.",English,,,Writing,transcription,NC master,16,,,,,,,,,Y,,,,,,,,,,
"The two statutory appendices - on spelling and on vocabulary, grammar and punctuation - give an overview of the specific features that should be included in teaching the programmes of study.",English,,,"Spelling, vocabulary, grammar, punctuation and glossary",,NC master,16,,,,Y,,,,Y,,,,,,,,,,,
Opportunities for teachers to enhance pupils' vocabulary arise naturally from their reading and writing.,English,,,"Spelling, vocabulary, grammar, punctuation and glossary",Vocabulary,NC master,16,,,,,,,,,Y,,,,,,,,,,
"As vocabulary increases, teachers should show pupils how to understand the relationships between words, how to understand nuances in meaning, and how to develop their understanding of, and ability to use, figurative language.",English,,,"Spelling, vocabulary, grammar, punctuation and glossary",Vocabulary,NC master,16,,,,,,,,Y,,,,,,,,,,,
They should also teach pupils how to work out and clarify the meanings of unknown words and words with more than one meaning.,English,,,"Spelling, vocabulary, grammar, punctuation and glossary",Vocabulary,NC master,16,,,,,,,,Y,,,,,,,,,,,
References to developing pupils' vocabulary are also included within the appendices.,English,,,"Spelling, vocabulary, grammar, punctuation and glossary",Vocabulary,NC master,16,,,,Y,,,,,Y,,,,,,,,,,
Pupils should be taught to control their speaking and writing consciously and to use Standard English.,English,,,"Spelling, vocabulary, grammar, punctuation and glossary",Standard English,NC master,16,,,,,,,,Y,,,,,Y,,,,,Y,
"They should be taught to use the elements of spelling, grammar, punctuation and 'language about language' listed.",English,,,"Spelling, vocabulary, grammar, punctuation and glossary",,NC master,16,,,,,,,,Y,,,,,,,,,,,
"This is not intended to constrain or restrict teachers' creativity, but simply to provide the structure on which they can construct exciting lessons.",English,,,"Spelling, vocabulary, grammar, punctuation and glossary",,NC master,16,,,,,,,,,Y,,,,,,,,,,
A non-statutory Glossary is provided for teachers.,English,,,"Spelling, vocabulary, grammar, punctuation and glossary",,NC master,16,,,Y,,,,,,Y,,,,,,,,,,
"Throughout the programmes of study, teachers should teach pupils the vocabulary they need to discuss their reading, writing and spoken language.",English,,,"Spelling, vocabulary, grammar, punctuation and glossary",Vocabulary,NC master,16,,,,,,,,Y,,,,,Y,,,,,Y,
It is important that pupils learn the correct grammatical terms in English and that these terms are integrated within teaching.,English,,,"Spelling, vocabulary, grammar, punctuation and glossary",Grammar,NC master,16,,,,,,,,,Y,,,,,,,,,,
The programmes of study for English are set out year-by-year for key stage 1 and two-yearly for key stage 2.,English,Key stage 1,,,,NC master,17,Y,,,,,,,,Y,,,,,,,,,,
The programmes of study for English are set out year-by-year for key stage 1 and two-yearly for key stage 2.,English,Key stage 2,,,,NC master,17,Y,,,,,,,,Y,,,,,,,,,,
The single year blocks at key stage 1 reflect the rapid pace of development in word reading during these two years.,English,Key stage 1,,,,NC master,17,Y,,,,,,,,Y,,,,,,,,,,
"Schools are, however, only required to teach the relevant programme of study by the end of the key stage.",English,,,,,NC master,17,Y,,,,,,,Y,,,,,,,,,,,
"Within each key stage, schools therefore have the flexibility to introduce content earlier or later than set out in the programme of study.",English,,,,,NC master,17,Y,,,,,,,,Y,,,,,,,,,,
"In addition, schools can introduce key stage content during an earlier key stage if appropriate.",English,,,,,NC master,17,Y,,,,,,,,Y,,,,,,,,,,
All schools are also required to set out their school curriculum for English on a year-by-year basis and make this information available online.,English,,,,,NC master,17,Y,,,,,,,Y,,,,,,,,,,,
"By the end of each key stage, pupils are expected to know, apply and understand the matters, skills and processes specified in the relevant programme of study.",English,,,,,NC master,17,Y,,,,,,Y,,,,,,,,,,,,
Schools are not required by law to teach the example content in [square brackets] or the content indicated as being 'non-statutory'.,English,,,,,NC master,17,Y,,,,,,Y,,Y,,,,,,,,,,
Pupils should be taught to: listen and respond appropriately to adults and their peers,English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
Pupils should be taught to: ask relevant questions to extend their understanding and knowledge,English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
Pupils should be taught to: use relevant strategies to build their vocabulary,English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: articulate and justify answers, arguments and opinions",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: give well-structured descriptions, explanations and narratives for different purposes, including for expressing feelings",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: maintain attention and participate actively in collaborative conversations, staying on topic and initiating and responding to comments",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: use spoken language to develop understanding through speculating, hypothesising, imagining and exploring ideas",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
Pupils should be taught to: speak audibly and fluently with an increasing command of Standard English,English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: participate in discussions, presentations, performances, role play, improvisations and debates",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: gain, maintain and monitor the interest of the listener(s)",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
"Pupils should be taught to: consider and evaluate different viewpoints, attending to and building on the contributions of others",English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
Pupils should be taught to: select and use appropriate registers for effective communication.,English,,Years 1 to 6,Spoken language,,NC master,18,,,,,,,,Y,,,,,Y,,,,,Y,
