lesson_id,lesson_title,subject,concepts_extracted,concepts_total,status
7962,Plant defences against disease,Biology,5,5,success
7167,Evaluating the global use of vaccination,Biology,5,5,success
7172,"Plant defences, and identifying plant diseases",Biology,5,5,success
9197,Light microscopy: observing and identifying microorganisms ,Biology,5,5,success
5541,Neurones and synapses,Biology,5,5,success
5540,The human nervous system,Biology,5,5,success
5545,The structure and function of a reflex arc,Biology,5,5,success
5546,The human eye ,Biology,5,5,success
9203,Common defects of the human eye,Biology,5,5,success
7953,The human brain,Biology,5,5,success
5542,Human reaction time: practical,Biology,5,5,success
27971,"Damage and disease in the human brain, including CT and PET scanning",Biology,5,5,success
5547,"Damage and disease in the human brain, including fMRI and electrical stimulation",Biology,5,5,success
6404,Variation and genetic mutations,Biology,5,5,success
6406,Natural selection at the genetic level,Biology,5,5,success
6408,Mutations and evolution in bacteria,Biology,5,5,success
6403,Sexual and asexual reproduction,Biology,5,5,success
5570,The human endocrine system,Biology,5,5,success
7955,Insulin and the control of blood sugar level,Biology,5,5,success
5572,"Insulin, glucagon and the control of blood sugar level",Biology,5,5,success
7954,Type 1 and type 2 diabetes,Biology,5,5,success
5573,"Adrenaline, thyroxine and negative feedback",Biology,5,5,success
27881,"Adrenaline, thyroxine and negative feedback, including TRH",Biology,5,5,success
8005,Hormonal control of the menstrual cycle,Biology,5,5,success
8006,Hormonal and non-hormonal methods of contraception,Biology,5,5,success
8107,Using hormones to treat infertility ,Biology,5,5,success
8003,"Hormones: puberty, the menstrual cycle and the menopause",Biology,5,5,success
7998,"Auxins, phototropism and gravitropism",Biology,5,5,success
8002,The effects of gibberellins and ethene on plant growth and development,Biology,5,5,success
7999,The effect of light on the growth of seedlings: practical,Biology,5,5,success
8000,The effect of gravity on the growth of seedlings: practical,Biology,5,5,success
7967,Development of new medicines,Biology,5,5,success
7963,Antibiotics,Biology,5,5,success
7968,Monoclonal antibodies,Biology,5,5,success
7966,The effect of antimicrobial substances on bacterial growth: practical,Biology,5,5,success
8189,The importance of maintaining constant conditions in the body,Biology,5,5,success
5608,The role of the skin in thermoregulation,Biology,5,5,success
27991,"Controlling water balance: the kidneys, and nephron structure",Biology,5,5,success
5607,"The importance of maintaining constant conditions in the body, including osmosis",Biology,5,5,success
5606,The effect of sugar concentration on the mass of plant tissue: data analysis,Biology,5,5,success
5605,The effect of sugar concentration on the mass of plant tissue: practical,Biology,5,5,success
9191,Using a microscope to observe effects of osmosis in plant cells: practical,Biology,5,5,success
27990,"Controlling water balance: the kidneys, and treating kidney failure",Biology,5,5,success
5610,The role of the nervous system in thermoregulation,Biology,5,5,success
5611,The roles of the nervous and endocrine systems in controlling water balance,Biology,5,5,success
5609,"Controlling water balance: the kidneys, nephron structure and kidney failure",Biology,5,5,success
5598,Aerobic cellular respiration in humans and other organisms,Biology,5,5,success
5599,Anaerobic cellular respiration in humans and other organisms,Biology,5,5,success
9204,Explaining the effect of temperature on the rate of cellular respiration,Biology,5,5,success
27630,Explaining the effect of different substrates on the rate of cellular respiration,Biology,5,5,success
5600,The effect of temperature on cellular respiration in small organisms: practical,Biology,5,5,success
5601,The effect of different substrates on cellular respiration in yeast: practical,Biology,5,5,success
27969,"Aerobic cellular respiration in humans and other organisms, including ATP",Biology,5,5,success
27970,"Anaerobic cellular respiration in humans and other organisms, including ATP",Biology,5,5,success
5577,Photosynthesis: an endothermic process that takes place in chloroplasts,Biology,5,5,success
5576,"Producers, photosynthesis and consumers",Biology,5,5,success
5579,Models of photosynthesis,Biology,5,5,success
5578,The requirements and products of photosynthesis: practical,Biology,5,5,success
5583,Plant roots are adapted to absorb water and mineral ions,Biology,5,5,success
5586,Transport systems in plants: xylem and transpiration,Biology,5,5,success
5585,Transport systems in plants: phloem and translocation,Biology,5,5,success
9194,Observing the structure and distribution of stomata: practical,Biology,5,5,success
5588,The effects of environmental factors on the rate of water uptake by a plant,Biology,5,5,success
5589,The importance of exchange surfaces and transport systems in plants,Biology,5,5,success
9193,Observing xylem and phloem using a light microscope: practical,Biology,5,5,success
9192,Observing root hair cells using a light microscope: practical,Biology,5,5,success
5587,The effect of light on water uptake by a plant: practical,Biology,5,5,success
5616,Factors affecting the rate of photosynthesis,Biology,5,5,success
7936,Photosynthesis and limiting factors,Biology,5,5,success
7935,Light intensity and the inverse square law,Biology,5,5,success
27994,The effect of light intensity on rate of photosynthesis in pondweed: evaluation,Biology,5,5,success
27992,The effect of light intensity on rate of photosynthesis in pondweed: plan,Biology,5,5,success
27995,The effect of light intensity on rate of photosynthesis in algae: plan,Biology,5,5,success
27996,The effect of light intensity on rate of photosynthesis in algae: practical,Biology,5,5,success
27993,The effect of light intensity on rate of photosynthesis in pondweed: practical,Biology,5,5,success
27997,The effect of light intensity on rate of photosynthesis in algae: evaluation,Biology,5,5,success
7993,Genetic engineering ,Biology,5,5,success
7991,Genetic testing for healthcare,Biology,5,5,success
7992,Genetic testing for family planning,Biology,5,5,success
7994,"Genetic engineering, including the main steps",Biology,5,5,success
